<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs
96.0,18593344.0,96.0,2835873120.0,1.0,0.0,2.0,2048000.0,1.0,53248.0,2.0,0.0,1510998016.0,1.0,224.0,0.0018349461257457726,2856567712.0,1510998016.0,inception,198.0,27161264.0,0.0,,
96.0,37186688.0,96.0,5671746240.0,1.0,0.0,2.0,4096000.0,1.0,106496.0,2.0,0.0,1580204032.0,2.0,224.0,0.0022864349186420443,5713135424.0,1580204032.0,inception,198.0,27161264.0,0.0,,
96.0,74373376.0,96.0,11343492480.0,1.0,0.0,2.0,8192000.0,1.0,212992.0,2.0,0.0,1657798656.0,4.0,224.0,0.002436885796487332,11426270848.0,1657798656.0,inception,198.0,27161264.0,0.0,,
96.0,148746752.0,96.0,22686984960.0,1.0,0.0,2.0,16384000.0,1.0,425984.0,2.0,0.0,1724907520.0,8.0,224.0,0.002434141561388969,22852541696.0,1724907520.0,inception,198.0,27161264.0,0.0,,
96.0,297493504.0,96.0,45373969920.0,1.0,0.0,2.0,32768000.0,1.0,851968.0,2.0,0.0,1800404992.0,16.0,224.0,0.0034885624423623084,45705083392.0,1800404992.0,inception,198.0,27161264.0,0.0,,
96.0,594987008.0,96.0,90747939840.0,1.0,0.0,2.0,65536000.0,1.0,1703936.0,2.0,0.0,1896873984.0,32.0,224.0,0.0051846943795681,91410166784.0,1896873984.0,inception,198.0,27161264.0,0.0,,
96.0,1189974016.0,96.0,181495879680.0,1.0,0.0,2.0,131072000.0,1.0,3407872.0,2.0,0.0,2075131904.0,64.0,224.0,0.009349016472697258,182820333568.0,2075131904.0,inception,198.0,27161264.0,0.0,,
96.0,1784961024.0,96.0,272243819520.0,1.0,0.0,2.0,196608000.0,1.0,5111808.0,2.0,0.0,2437939200.0,96.0,224.0,0.017241176962852482,274230500352.0,2437939200.0,inception,198.0,27161264.0,0.0,,
96.0,2379948032.0,96.0,362991759360.0,1.0,0.0,2.0,262144000.0,1.0,6815744.0,2.0,0.0,2666528768.0,128.0,224.0,0.020481456816196442,365640667136.0,2666528768.0,inception,198.0,27161264.0,0.0,,
96.0,3569922048.0,96.0,544487639040.0,1.0,0.0,2.0,393216000.0,1.0,10223616.0,2.0,0.0,2660237312.0,192.0,224.0,0.02791308760643005,548461000704.0,2660237312.0,inception,198.0,27161264.0,0.0,,
