<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
1.0,115605504.0,37.0,0.0,49.0,4247500800.0,25.0,3840000.0,2090598400.0,1.0,224.0,0.005965643189847469,4366946304.0,2090598400.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,231211008.0,37.0,0.0,49.0,8495001600.0,25.0,7680000.0,2489057280.0,2.0,224.0,0.0067547731101512895,8733892608.0,2489057280.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,462422016.0,37.0,0.0,49.0,16990003200.0,25.0,15360000.0,2889613312.0,4.0,224.0,0.006856983434408904,17467785216.0,2889613312.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,924844032.0,37.0,0.0,49.0,33980006400.0,25.0,30720000.0,3288072192.0,8.0,224.0,0.007451355084776878,34935570432.0,3288072192.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,1849688064.0,37.0,0.0,49.0,67960012800.0,25.0,61440000.0,3730571264.0,16.0,224.0,0.010504146572202444,69871140864.0,3730571264.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,3699376128.0,37.0,0.0,49.0,135920025600.0,25.0,122880000.0,3730571264.0,32.0,224.0,0.019580278731882568,139742281728.0,3730571264.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,7398752256.0,37.0,0.0,49.0,271840051200.0,25.0,245760000.0,3961257984.0,64.0,224.0,0.037739257887005814,279484563456.0,3961257984.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,14797504512.0,37.0,0.0,49.0,543680102400.0,25.0,491520000.0,4420534272.0,128.0,224.0,0.07189167253673076,558969126912.0,4420534272.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
245.0,5360927200.0,,,,,,,1927020544.0,1.0,224.0,0.024495740607380863,5439190496.0,1927020544.0,efficientnet,403.0,54139356.0,0.0,157.0,78199296.0,1.0,64000.0,,,,,,,,
245.0,10721854400.0,,,,,,,2157707264.0,2.0,224.0,0.02731629991903901,10878380992.0,2157707264.0,efficientnet,403.0,54139356.0,0.0,157.0,156398592.0,1.0,128000.0,,,,,,,,
245.0,21443708800.0,,,,,,,2205941760.0,4.0,224.0,0.02465215139091015,21756761984.0,2205941760.0,efficientnet,403.0,54139356.0,0.0,157.0,312797184.0,1.0,256000.0,,,,,,,,
245.0,42887417600.0,,,,,,,2249981952.0,8.0,224.0,0.02804265897721052,43513523968.0,2249981952.0,efficientnet,403.0,54139356.0,0.0,157.0,625594368.0,1.0,512000.0,,,,,,,,
245.0,85774835200.0,,,,,,,2564554752.0,16.0,224.0,0.026429623924195768,87027047936.0,2564554752.0,efficientnet,403.0,54139356.0,0.0,157.0,1251188736.0,1.0,1024000.0,,,,,,,,
245.0,171549670400.0,,,,,,,2801532928.0,32.0,224.0,0.035350543074309834,174054095872.0,2801532928.0,efficientnet,403.0,54139356.0,0.0,157.0,2502377472.0,1.0,2048000.0,,,,,,,,
245.0,343099340800.0,,,,,,,3577479168.0,64.0,224.0,0.0690891801379621,348108191744.0,3577479168.0,efficientnet,403.0,54139356.0,0.0,157.0,5004754944.0,1.0,4096000.0,,,,,,,,
245.0,686198681600.0,,,,,,,4433117184.0,128.0,224.0,0.13041517222300172,696216383488.0,4433117184.0,efficientnet,403.0,54139356.0,0.0,157.0,10009509888.0,1.0,8192000.0,,,,,,,,
64.0,501187680.0,,,,,,,1744568320.0,1.0,224.0,0.006039585918188095,536192992.0,1744568320.0,efficientnet_lite,172.0,5416680.0,0.0,64.0,34941312.0,1.0,64000.0,43.0,0.0,,,,,,
64.0,1002375360.0,,,,,,,1778122752.0,2.0,224.0,0.00681101530790329,1072385984.0,1778122752.0,efficientnet_lite,172.0,5416680.0,0.0,64.0,69882624.0,1.0,128000.0,43.0,0.0,,,,,,
