accelerator,avg_memory,batch_size,device,img_size,macs,max_memory,mean,model,requires_grad,total_params,trainable_params
1.0,1990.8735727163464,1.0,jetson_gpu,224.0,4363143936.0,2099.59765625,0.08349760809978761,vit32,0.0,88224232.0,0.0
1.0,2022.1502424568966,1.0,jetson_gpu,224.0,5400158668.0,2176.44140625,0.17606833015015586,efficientnet,0.0,54139356.0,0.0
1.0,2125.4587053571427,1.0,jetson_gpu,384.0,15850654188.0,2140.2265625,0.4536232973998267,efficientnet,0.0,54139356.0,0.0
1.0,2110.44482421875,1.0,jetson_gpu,448.0,21570925420.0,2110.4453125,0.5778708859001199,efficientnet,0.0,54139356.0,0.0
1.0,2109.76796875,1.0,jetson_gpu,512.0,28171238380.0,2110.3984375,0.7418585477498709,efficientnet,0.0,54139356.0,0.0
1.0,2114.103290264423,1.0,jetson_gpu,224.0,518722336.0,2630.09765625,0.04585810104981647,efficientnet_lite,0.0,5416680.0,0.0
1.0,2629.97265625,1.0,jetson_gpu,384.0,1524406016.0,2629.97265625,0.10056305389989577,efficientnet_lite,0.0,5416680.0,0.0
1.0,2630.1356026785716,1.0,jetson_gpu,448.0,2074885504.0,2630.13671875,0.13613168865012995,efficientnet_lite,0.0,5416680.0,0.0
1.0,2583.59375,1.0,jetson_gpu,512.0,2710054144.0,2583.59375,0.17332244080025702,efficientnet_lite,0.0,5416680.0,0.0
1.0,2127.9560210129307,1.0,jetson_gpu,224.0,3002076544.0,2543.6640625,0.07038457669987111,gernet,0.0,21142920.0,0.0
1.0,2404.727120535714,1.0,jetson_gpu,384.0,8822424064.0,2404.734375,0.1760876026997721,gernet,0.0,21142920.0,0.0
1.0,2405.224888392857,1.0,jetson_gpu,448.0,12008298496.0,2405.234375,0.2291574981998565,gernet,0.0,21142920.0,0.0
1.0,2359.656808035714,1.0,jetson_gpu,512.0,15684307456.0,2359.66796875,0.2801741919000051,gernet,0.0,21142920.0,0.0
1.0,2068.84765625,1.0,jetson_gpu,224.0,1819066368.0,2606.6015625,0.03445839035011886,resnet18,0.0,11689512.0,0.0
1.0,2616.7578125,1.0,jetson_gpu,384.0,5344834048.0,2616.7578125,0.06904390814997896,resnet18,0.0,11689512.0,0.0
1.0,2616.8609375,1.0,jetson_gpu,448.0,7274727936.0,2616.86328125,0.08729806970004575,resnet18,0.0,11689512.0,0.0
1.0,2606.41796875,1.0,jetson_gpu,512.0,9501528576.0,2606.41796875,0.10201371459988877,resnet18,0.0,11689512.0,0.0
1.0,2120.445457175926,1.0,jetson_gpu,224.0,714691904.0,2313.18359375,0.030268696450002613,alexnet,0.0,61100840.0,0.0
1.0,2277.5966796875,1.0,jetson_gpu,384.0,2079450944.0,2277.6015625,0.048073867299899584,alexnet,0.0,61100840.0,0.0
1.0,2277.79296875,1.0,jetson_gpu,448.0,2834895680.0,2277.796875,0.05757585100000143,alexnet,0.0,61100840.0,0.0
1.0,2277.9248046875,1.0,jetson_gpu,512.0,3710034752.0,2277.9296875,0.06752889290000894,alexnet,0.0,61100840.0,0.0
1.0,1978.6213981331168,1.0,jetson_gpu,224.0,823440824.0,2408.359375,0.02771916220008279,squeezenet,0.0,1248424.0,0.0
1.0,2410.4296875,1.0,jetson_gpu,384.0,2503203384.0,2410.4296875,0.07387290295009734,squeezenet,0.0,1248424.0,0.0
1.0,2410.51171875,1.0,jetson_gpu,448.0,3430075064.0,2410.51171875,0.0993416437999258,squeezenet,0.0,1248424.0,0.0
1.0,2410.57421875,1.0,jetson_gpu,512.0,4502641976.0,2410.57421875,0.1262602667997271,squeezenet,0.0,1248424.0,0.0
1.0,2026.9101273148144,1.0,jetson_gpu,224.0,15483862016.0,2167.6328125,0.24773011569996015,vgg16,0.0,138357544.0,0.0
1.0,2105.485956869835,1.0,jetson_gpu,224.0,7787012832.0,2441.703125,0.21738850355031894,densenet,0.0,28681000.0,0.0
1.0,2389.15859375,1.0,jetson_gpu,384.0,22880001792.0,2389.2109375,0.5076675008498569,densenet,0.0,28681000.0,0.0
1.0,2389.7489659926473,1.0,jetson_gpu,448.0,31141427328.0,2389.75,0.6874736898502306,densenet,0.0,28681000.0,0.0
1.0,2339.1360677083335,1.0,jetson_gpu,512.0,40673841408.0,2389.515625,0.8586545326998021,densenet,0.0,28681000.0,0.0
1.0,2070.356065124046,1.0,jetson_gpu,224.0,2847271040.0,2262.1875,0.14795250664974444,inception,0.0,27161264.0,0.0
