device,model,accelerator,requires_grad,use_torchscript,num_threads,batch_size,img_size,avg_memory,max_memory,latency,macs,total_params,trainable_params
rpi4_cpu,vit32,0.0,0.0,0.0,1.0,1.0,224.0,544.3597301136364,544.68359375,10.90417768440002,4363143936.0,88224232.0,0.0
rpi4_cpu,vit32,0.0,0.0,0.0,1.0,1.0,384.0,884.4079833984375,884.41015625,32.268043211700025,12656142336.0,88297192.0,0.0
rpi4_cpu,vit32,0.0,0.0,0.0,1.0,1.0,224.0,543.5080610795454,563.78515625,10.926319724099994,4363143936.0,88224232.0,0.0
rpi4_cpu,vit32,0.0,0.0,0.0,1.0,1.0,384.0,890.0830753734276,902.8671875,32.06076912829999,12656142336.0,88297192.0,0.0
rpi4_cpu,efficientnet_lite,0.0,0.0,0.0,1.0,1.0,224.0,228.07688210227272,229.5625,1.934264212199969,518722336.0,5416680.0,0.0
rpi4_cpu,efficientnet_lite,0.0,0.0,0.0,1.0,1.0,384.0,253.5600286989796,261.40625,4.74382316809997,1524406016.0,5416680.0,0.0
rpi4_cpu,gernet,0.0,0.0,0.0,1.0,1.0,224.0,300.7056361607143,307.5546875,7.913650466900026,3002076544.0,21142920.0,0.0
rpi4_cpu,gernet,0.0,0.0,0.0,1.0,1.0,384.0,333.04573366769546,372.22265625,23.802891144499977,8822424064.0,21142920.0,0.0
rpi4_cpu,resnet18,0.0,0.0,0.0,1.0,1.0,224.0,261.3463295990566,263.421875,5.193602892800027,1819066368.0,11689512.0,0.0
rpi4_cpu,resnet18,0.0,0.0,0.0,1.0,1.0,384.0,282.7757923315603,301.88671875,14.3301356639,5344834048.0,11689512.0,0.0
rpi4_cpu,alexnet,0.0,0.0,0.0,1.0,1.0,224.0,435.435546875,437.4375,1.6102487305999602,714691904.0,61100840.0,0.0
rpi4_cpu,alexnet,0.0,0.0,0.0,1.0,1.0,384.0,464.5081073113208,466.8125,5.436684702899948,2079450944.0,61100840.0,0.0
rpi4_cpu,squeezenet,0.0,0.0,0.0,1.0,1.0,224.0,212.58695652173913,215.3203125,2.018080507200011,823440824.0,1248424.0,0.0
rpi4_cpu,squeezenet,0.0,0.0,0.0,1.0,1.0,384.0,240.31300223214285,246.25390625,6.949946918900059,2503203384.0,1248424.0,0.0
rpi4_cpu,inception,0.0,0.0,0.0,1.0,1.0,224.0,340.4911595394737,341.5625,7.463091675799933,2847271040.0,27161264.0,0.0
rpi4_cpu,inception,0.0,0.0,0.0,1.0,1.0,384.0,368.3088928772523,392.484375,22.61870640820007,9475898240.0,27161264.0,0.0
rpi4_cpu,googlenet,0.0,0.0,0.0,1.0,1.0,224.0,247.61268028846155,249.22265625,3.75379226189998,1504879712.0,6624904.0,0.0
rpi4_cpu,googlenet,0.0,0.0,0.0,1.0,1.0,384.0,276.4867256637168,281.765625,11.360226225000044,4420516352.0,6624904.0,0.0
rpi4_cpu,shufflenet,0.0,0.0,0.0,1.0,1.0,224.0,212.1455078125,214.21484375,0.5018455417000041,148808392.0,2278604.0,0.0
rpi4_cpu,shufflenet,0.0,0.0,0.0,1.0,1.0,384.0,222.89270833333333,223.7890625,1.22247345779997,435329152.0,2278604.0,0.0
rpi4_cpu,mobilenet_v2,0.0,0.0,0.0,1.0,1.0,224.0,227.5390625,230.66015625,1.151178238400007,314130496.0,3504872.0,0.0
rpi4_cpu,mobilenet_v2,0.0,0.0,0.0,1.0,1.0,384.0,245.9439264112903,248.5546875,2.8671399527000174,920677376.0,3504872.0,0.0
rpi4_cpu,resnext50_32x4d,0.0,0.0,0.0,1.0,1.0,224.0,310.65234375,311.92578125,11.333814956199967,4259383296.0,25028904.0,0.0
rpi4_cpu,resnext50_32x4d,0.0,0.0,0.0,1.0,1.0,384.0,349.7266090029762,352.48828125,34.175742361800076,12513396736.0,25028904.0,0.0
rpi4_cpu,wide_resnet50_2,0.0,0.0,0.0,1.0,1.0,224.0,497.3327768874644,498.70703125,35.317065420800006,11426924544.0,68883240.0,0.0
rpi4_cpu,wide_resnet50_2,0.0,0.0,0.0,1.0,1.0,384.0,527.091984922046,546.3515625,95.87234896189992,33577191424.0,68883240.0,0.0
rpi4_cpu,mnasnet,0.0,0.0,0.0,1.0,1.0,224.0,225.73645833333333,227.3203125,1.2344520722000198,325329152.0,4383312.0,0.0
rpi4_cpu,mnasnet,0.0,0.0,0.0,1.0,1.0,384.0,237.07568359375,243.3984375,2.917907737099995,953587712.0,4383312.0,0.0
