model,batch_size,hidden_dim,bidirectional,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params,seq_len
lstm,1.0,1.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0002609782852232456,24.0,16.0,0.0,1.0
lstm,1.0,1.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0002704034559428692,48.0,16.0,0.0,2.0
lstm,1.0,1.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00029221149161458017,96.0,16.0,0.0,4.0
lstm,1.0,1.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0003384897485375404,192.0,16.0,0.0,8.0
lstm,1.0,1.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00043463539332151414,384.0,16.0,0.0,16.0
lstm,1.0,1.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0008483096025884151,768.0,16.0,0.0,32.0
lstm,1.0,1.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.001572059653699398,1536.0,16.0,0.0,64.0
lstm,1.0,1.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.003424729406833649,3072.0,16.0,0.0,128.0
lstm,1.0,2.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00026780571788549424,64.0,48.0,0.0,1.0
lstm,1.0,2.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00027466844767332077,128.0,48.0,0.0,2.0
lstm,1.0,2.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0003166923299431801,256.0,48.0,0.0,4.0
lstm,1.0,2.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00038675889372825624,512.0,48.0,0.0,8.0
lstm,1.0,2.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0007605287246406078,1024.0,48.0,0.0,16.0
lstm,1.0,2.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0012749863788485527,2048.0,48.0,0.0,32.0
lstm,1.0,2.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0025535870343446733,4096.0,48.0,0.0,64.0
lstm,1.0,2.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.005099467467516661,8192.0,48.0,0.0,128.0
lstm,1.0,4.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00026532439514994623,192.0,160.0,0.0,1.0
lstm,1.0,4.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00027589211240410807,384.0,160.0,0.0,2.0
lstm,1.0,4.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00031627025455236433,768.0,160.0,0.0,4.0
lstm,1.0,4.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00038473783060908315,1536.0,160.0,0.0,8.0
lstm,1.0,4.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.000767191406339407,3072.0,160.0,0.0,16.0
lstm,1.0,4.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0012872046791017056,6144.0,160.0,0.0,32.0
lstm,1.0,4.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0025527306832373144,12288.0,160.0,0.0,64.0
lstm,1.0,4.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0050690782256424425,24576.0,160.0,0.0,128.0
lstm,1.0,8.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.000252802949398756,640.0,576.0,0.0,1.0
lstm,1.0,8.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0002612479962408543,1280.0,576.0,0.0,2.0
lstm,1.0,8.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0003184182569384575,2560.0,576.0,0.0,4.0
lstm,1.0,8.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0003871744498610497,5120.0,576.0,0.0,8.0
lstm,1.0,8.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.000767225120216608,10240.0,576.0,0.0,16.0
lstm,1.0,8.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0012838552705943585,20480.0,576.0,0.0,32.0
lstm,1.0,8.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00254057040438056,40960.0,576.0,0.0,64.0
lstm,1.0,8.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.005059094075113535,81920.0,576.0,0.0,128.0
lstm,1.0,16.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00025254664942622187,2304.0,2176.0,0.0,1.0
lstm,1.0,16.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00026693437248468397,4608.0,2176.0,0.0,2.0
lstm,1.0,16.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0003168507479131222,9216.0,2176.0,0.0,4.0
lstm,1.0,16.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0003877472132444382,18432.0,2176.0,0.0,8.0
lstm,1.0,16.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0007702922448515892,36864.0,2176.0,0.0,16.0
lstm,1.0,16.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.001273307017982006,73728.0,2176.0,0.0,32.0
lstm,1.0,16.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.002541942801326513,147456.0,2176.0,0.0,64.0
lstm,1.0,16.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.004839263763278723,294912.0,2176.0,0.0,128.0
lstm,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00025339880958199503,8704.0,8448.0,0.0,1.0
lstm,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00026728175580501554,17408.0,8448.0,0.0,2.0
lstm,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00029497742652893064,34816.0,8448.0,0.0,4.0
lstm,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0003432781435549259,69632.0,8448.0,0.0,8.0
lstm,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0004380211234092712,139264.0,8448.0,0.0,16.0
lstm,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0008683963678777218,278528.0,8448.0,0.0,32.0
lstm,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.001739952154457569,557056.0,8448.0,0.0,64.0
lstm,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0034326943568885326,1114112.0,8448.0,0.0,128.0
lstm,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00025644069537520406,33792.0,33280.0,0.0,1.0
lstm,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0002666092477738857,67584.0,33280.0,0.0,2.0
lstm,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0002984099090099335,135168.0,33280.0,0.0,4.0
lstm,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0003454008139669895,270336.0,33280.0,0.0,8.0
lstm,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0004350250586867332,540672.0,33280.0,0.0,16.0
lstm,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0008585156872868537,1081344.0,33280.0,0.0,32.0
lstm,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0017125027254223824,2162688.0,33280.0,0.0,64.0
lstm,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0034165184013545515,4325376.0,33280.0,0.0,128.0
lstm,1.0,256.0,False,cuda,True,False,False,0.0,relu,15614083072.0,15614083072.0,0.00025699352845549585,528384.0,526336.0,0.0,1.0
lstm,1.0,256.0,False,cuda,True,False,False,0.0,relu,15614083072.0,15614083072.0,0.0002679386176168919,1056768.0,526336.0,0.0,2.0
lstm,1.0,256.0,False,cuda,True,False,False,0.0,relu,15614083072.0,15614083072.0,0.00030211200937628745,2113536.0,526336.0,0.0,4.0
lstm,1.0,256.0,False,cuda,True,False,False,0.0,relu,15614083072.0,15614083072.0,0.00034183450043201447,4227072.0,526336.0,0.0,8.0
lstm,1.0,256.0,False,cuda,True,False,False,0.0,relu,15614083072.0,15614083072.0,0.0006478901021182537,8454144.0,526336.0,0.0,16.0
lstm,1.0,256.0,False,cuda,True,False,False,0.0,relu,15614083072.0,15614083072.0,0.0010424064472317695,16908288.0,526336.0,0.0,32.0
lstm,1.0,256.0,False,cuda,True,False,False,0.0,relu,15614083072.0,15614083072.0,0.0015264594927430152,33816576.0,526336.0,0.0,64.0
lstm,1.0,256.0,False,cuda,True,False,False,0.0,relu,15614083072.0,15614083072.0,0.0031563659198582173,67633152.0,526336.0,0.0,128.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15653928960.0,15653928960.0,0.00027219653129577636,2105344.0,2101248.0,0.0,1.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15653928960.0,15653928960.0,0.00029037389904260633,4210688.0,2101248.0,0.0,2.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15674900480.0,15674900480.0,0.00035185432061553,8421376.0,2101248.0,0.0,4.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15674900480.0,15674900480.0,0.00040694521740078924,16842752.0,2101248.0,0.0,8.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15695872000.0,15695872000.0,0.0007511193864047528,33685504.0,2101248.0,0.0,16.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15695872000.0,15695872000.0,0.0011866124346852302,67371008.0,2101248.0,0.0,32.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15716843520.0,15716843520.0,0.0020431458950042726,134742016.0,2101248.0,0.0,64.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15695872000.0,15695872000.0,0.003777701687067747,269484032.0,2101248.0,0.0,128.0
lstm,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15716843520.0,15716843520.0,0.0003174843266606331,8404992.0,8396800.0,0.0,1.0
