accelerator,act_fn,avg_memory,batch_size,bidirectional,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,total_params,trainable_params,use_torchscript,seq_len
0.0,relu,271.75,1.0,0.0,cpu,0.0,1.0,0.0001371567999740364,24.0,271.75,lstm,0.0,16.0,0.0,0.0,1.0
0.0,relu,273.59765625,1.0,0.0,cpu,0.0,1.0,0.00015117349994397955,48.0,273.59765625,lstm,0.0,16.0,0.0,0.0,2.0
0.0,relu,273.62890625,1.0,0.0,cpu,0.0,1.0,0.00020077930003026268,96.0,273.62890625,lstm,0.0,16.0,0.0,0.0,4.0
0.0,relu,273.63671875,1.0,0.0,cpu,0.0,1.0,0.0003149234000375145,192.0,273.63671875,lstm,0.0,16.0,0.0,0.0,8.0
0.0,relu,273.703125,1.0,0.0,cpu,0.0,1.0,0.0005404166000516853,384.0,273.703125,lstm,0.0,16.0,0.0,0.0,16.0
0.0,relu,273.703125,1.0,0.0,cpu,0.0,1.0,0.0008377578999898105,768.0,273.703125,lstm,0.0,16.0,0.0,0.0,32.0
0.0,relu,273.7109375,1.0,0.0,cpu,0.0,1.0,0.0015754239000671077,1536.0,273.7109375,lstm,0.0,16.0,0.0,0.0,64.0
0.0,relu,273.9375,1.0,0.0,cpu,0.0,1.0,0.0032150724000530317,3072.0,273.9375,lstm,0.0,16.0,0.0,0.0,128.0
0.0,relu,273.9453125,1.0,0.0,cpu,0.0,2.0,9.988499996325118e-05,64.0,273.9453125,lstm,0.0,48.0,0.0,0.0,1.0
0.0,relu,274.37109375,1.0,0.0,cpu,0.0,2.0,0.00016966260000117472,128.0,274.37109375,lstm,0.0,48.0,0.0,0.0,2.0
0.0,relu,274.37109375,1.0,0.0,cpu,0.0,2.0,0.0002339289000701683,256.0,274.37109375,lstm,0.0,48.0,0.0,0.0,4.0
0.0,relu,274.375,1.0,0.0,cpu,0.0,2.0,0.0003350797999701172,512.0,274.375,lstm,0.0,48.0,0.0,0.0,8.0
0.0,relu,274.37890625,1.0,0.0,cpu,0.0,2.0,0.00047804979994907625,1024.0,274.37890625,lstm,0.0,48.0,0.0,0.0,16.0
0.0,relu,274.390625,1.0,0.0,cpu,0.0,2.0,0.0009341072000097483,2048.0,274.390625,lstm,0.0,48.0,0.0,0.0,32.0
0.0,relu,274.390625,1.0,0.0,cpu,0.0,2.0,0.0018075639999551641,4096.0,274.390625,lstm,0.0,48.0,0.0,0.0,64.0
0.0,relu,274.48828125,1.0,0.0,cpu,0.0,2.0,0.0027716974999748346,8192.0,274.48828125,lstm,0.0,48.0,0.0,0.0,128.0
0.0,relu,274.4921875,1.0,0.0,cpu,0.0,4.0,0.00011996230005024699,192.0,274.4921875,lstm,0.0,160.0,0.0,0.0,1.0
0.0,relu,274.50390625,1.0,0.0,cpu,0.0,4.0,0.0001468585999646166,384.0,274.50390625,lstm,0.0,160.0,0.0,0.0,2.0
0.0,relu,274.50390625,1.0,0.0,cpu,0.0,4.0,0.0004212922000078834,768.0,274.50390625,lstm,0.0,160.0,0.0,0.0,4.0
0.0,relu,274.50390625,1.0,0.0,cpu,0.0,4.0,0.00038220970000111263,1536.0,274.50390625,lstm,0.0,160.0,0.0,0.0,8.0
0.0,relu,274.5078125,1.0,0.0,cpu,0.0,4.0,0.0004980341999726079,3072.0,274.5078125,lstm,0.0,160.0,0.0,0.0,16.0
0.0,relu,274.5078125,1.0,0.0,cpu,0.0,4.0,0.0007945966999614029,6144.0,274.5078125,lstm,0.0,160.0,0.0,0.0,32.0
0.0,relu,274.5078125,1.0,0.0,cpu,0.0,4.0,0.002378561299974535,12288.0,274.5078125,lstm,0.0,160.0,0.0,0.0,64.0
0.0,relu,274.51953125,1.0,0.0,cpu,0.0,4.0,0.0028116745999795965,24576.0,274.51953125,lstm,0.0,160.0,0.0,0.0,128.0
0.0,relu,274.51953125,1.0,0.0,cpu,0.0,8.0,0.00015688260000388255,640.0,274.51953125,lstm,0.0,576.0,0.0,0.0,1.0
0.0,relu,274.51953125,1.0,0.0,cpu,0.0,8.0,0.0001620770000045013,1280.0,274.51953125,lstm,0.0,576.0,0.0,0.0,2.0
0.0,relu,274.51953125,1.0,0.0,cpu,0.0,8.0,0.00027578179997362896,2560.0,274.51953125,lstm,0.0,576.0,0.0,0.0,4.0
0.0,relu,274.51953125,1.0,0.0,cpu,0.0,8.0,0.0002705314000195358,5120.0,274.51953125,lstm,0.0,576.0,0.0,0.0,8.0
0.0,relu,274.52734375,1.0,0.0,cpu,0.0,8.0,0.00045804929995938435,10240.0,274.52734375,lstm,0.0,576.0,0.0,0.0,16.0
0.0,relu,274.52734375,1.0,0.0,cpu,0.0,8.0,0.001240951500039955,20480.0,274.52734375,lstm,0.0,576.0,0.0,0.0,32.0
0.0,relu,274.52734375,1.0,0.0,cpu,0.0,8.0,0.0017804142000386492,40960.0,274.52734375,lstm,0.0,576.0,0.0,0.0,64.0
0.0,relu,274.59765625,1.0,0.0,cpu,0.0,8.0,0.0025086585999815727,81920.0,274.59765625,lstm,0.0,576.0,0.0,0.0,128.0
0.0,relu,274.75,1.0,0.0,cpu,0.0,16.0,0.00020658370003729943,2304.0,274.75,lstm,0.0,2176.0,0.0,0.0,1.0
0.0,relu,274.75,1.0,0.0,cpu,0.0,16.0,0.00024156949993994203,4608.0,274.75,lstm,0.0,2176.0,0.0,0.0,2.0
0.0,relu,274.75,1.0,0.0,cpu,0.0,16.0,0.0004577088000587537,9216.0,274.75,lstm,0.0,2176.0,0.0,0.0,4.0
0.0,relu,274.75,1.0,0.0,cpu,0.0,16.0,0.0002817466000124114,18432.0,274.75,lstm,0.0,2176.0,0.0,0.0,8.0
0.0,relu,274.75,1.0,0.0,cpu,0.0,16.0,0.0004636012999981176,36864.0,274.75,lstm,0.0,2176.0,0.0,0.0,16.0
0.0,relu,274.75,1.0,0.0,cpu,0.0,16.0,0.000774833099967509,73728.0,274.75,lstm,0.0,2176.0,0.0,0.0,32.0
0.0,relu,274.77734375,1.0,0.0,cpu,0.0,16.0,0.0011363588000676828,147456.0,274.77734375,lstm,0.0,2176.0,0.0,0.0,64.0
0.0,relu,275.0748697916667,1.0,0.0,cpu,0.0,16.0,0.002354763899984391,294912.0,275.1171875,lstm,0.0,2176.0,0.0,0.0,128.0
0.0,relu,275.1484375,1.0,0.0,cpu,0.0,32.0,0.00013023330002397414,8704.0,275.1484375,lstm,0.0,8448.0,0.0,0.0,1.0
0.0,relu,275.1484375,1.0,0.0,cpu,0.0,32.0,0.00015665509999962524,17408.0,275.1484375,lstm,0.0,8448.0,0.0,0.0,2.0
0.0,relu,275.1484375,1.0,0.0,cpu,0.0,32.0,0.0001925452999785193,34816.0,275.1484375,lstm,0.0,8448.0,0.0,0.0,4.0
0.0,relu,275.1484375,1.0,0.0,cpu,0.0,32.0,0.0002707001000089804,69632.0,275.1484375,lstm,0.0,8448.0,0.0,0.0,8.0
0.0,relu,275.15234375,1.0,0.0,cpu,0.0,32.0,0.0005152234999513894,139264.0,275.15234375,lstm,0.0,8448.0,0.0,0.0,16.0
0.0,relu,275.15234375,1.0,0.0,cpu,0.0,32.0,0.0006904244999532238,278528.0,275.15234375,lstm,0.0,8448.0,0.0,0.0,32.0
0.0,relu,275.15234375,1.0,0.0,cpu,0.0,32.0,0.0017767301999811024,557056.0,275.15234375,lstm,0.0,8448.0,0.0,0.0,64.0
0.0,relu,275.2291666666667,1.0,0.0,cpu,0.0,32.0,0.0023714857999948434,1114112.0,275.26171875,lstm,0.0,8448.0,0.0,0.0,128.0
0.0,relu,275.26171875,1.0,0.0,cpu,0.0,64.0,0.00017146760001196526,33792.0,275.26171875,lstm,0.0,33280.0,0.0,0.0,1.0
0.0,relu,275.34375,1.0,0.0,cpu,0.0,64.0,0.00017731640000420156,67584.0,275.34375,lstm,0.0,33280.0,0.0,0.0,2.0
0.0,relu,275.46875,1.0,0.0,cpu,0.0,64.0,0.00021056560008219093,135168.0,275.46875,lstm,0.0,33280.0,0.0,0.0,4.0
0.0,relu,275.59375,1.0,0.0,cpu,0.0,64.0,0.0003344908999679319,270336.0,275.59375,lstm,0.0,33280.0,0.0,0.0,8.0
0.0,relu,275.71875,1.0,0.0,cpu,0.0,64.0,0.0005025997999837273,540672.0,275.71875,lstm,0.0,33280.0,0.0,0.0,16.0
0.0,relu,275.8671875,1.0,0.0,cpu,0.0,64.0,0.0009963578000679262,1081344.0,275.8671875,lstm,0.0,33280.0,0.0,0.0,32.0
0.0,relu,276.0078125,1.0,0.0,cpu,0.0,64.0,0.0020375299000079394,2162688.0,276.0078125,lstm,0.0,33280.0,0.0,0.0,64.0
0.0,relu,276.6010044642857,1.0,0.0,cpu,0.0,64.0,0.0034342025999649197,4325376.0,276.61328125,lstm,0.0,33280.0,0.0,0.0,128.0
0.0,relu,278.41015625,1.0,0.0,cpu,0.0,256.0,0.0008924241999920923,528384.0,278.41015625,lstm,0.0,526336.0,0.0,0.0,1.0
0.0,relu,280.42578125,1.0,0.0,cpu,0.0,256.0,0.000782133199936652,1056768.0,280.4296875,lstm,0.0,526336.0,0.0,0.0,2.0
0.0,relu,282.44140625,1.0,0.0,cpu,0.0,256.0,0.0005978320999929565,2113536.0,282.44140625,lstm,0.0,526336.0,0.0,0.0,4.0
0.0,relu,282.44140625,1.0,0.0,cpu,0.0,256.0,0.0006106091000219749,4227072.0,282.44140625,lstm,0.0,526336.0,0.0,0.0,8.0
0.0,relu,280.44140625,1.0,0.0,cpu,0.0,256.0,0.0011182113000359096,8454144.0,280.44140625,lstm,0.0,526336.0,0.0,0.0,16.0
0.0,relu,282.44140625,1.0,0.0,cpu,0.0,256.0,0.001970094600073935,16908288.0,282.44140625,lstm,0.0,526336.0,0.0,0.0,32.0
0.0,relu,284.44140625,1.0,0.0,cpu,0.0,256.0,0.003580337800030975,33816576.0,284.44140625,lstm,0.0,526336.0,0.0,0.0,64.0
0.0,relu,287.000390625,1.0,0.0,cpu,0.0,256.0,0.006832439400022849,67633152.0,287.0390625,lstm,0.0,526336.0,0.0,0.0,128.0
0.0,relu,294.88671875,1.0,0.0,cpu,0.0,512.0,0.0008175222000318172,2105344.0,294.88671875,lstm,0.0,2101248.0,0.0,0.0,1.0
0.0,relu,303.00390625,1.0,0.0,cpu,0.0,512.0,0.0015043124999465363,4210688.0,303.00390625,lstm,0.0,2101248.0,0.0,0.0,2.0
0.0,relu,311.00390625,1.0,0.0,cpu,0.0,512.0,0.002577067699985491,8421376.0,311.00390625,lstm,0.0,2101248.0,0.0,0.0,4.0
0.0,relu,319.00390625,1.0,0.0,cpu,0.0,512.0,0.0022929857000235643,16842752.0,319.00390625,lstm,0.0,2101248.0,0.0,0.0,8.0
0.0,relu,327.00390625,1.0,0.0,cpu,0.0,512.0,0.003770886900019832,33685504.0,327.00390625,lstm,0.0,2101248.0,0.0,0.0,16.0
0.0,relu,335.00390625,1.0,0.0,cpu,0.0,512.0,0.0074227351999979875,67371008.0,335.00390625,lstm,0.0,2101248.0,0.0,0.0,32.0
0.0,relu,343.4396306818182,1.0,0.0,cpu,0.0,512.0,0.010567968099985591,134742016.0,343.5078125,lstm,0.0,2101248.0,0.0,0.0,64.0
0.0,relu,352.9309895833333,1.0,0.0,cpu,0.0,512.0,0.019556225099950097,269484032.0,353.296875,lstm,0.0,2101248.0,0.0,0.0,128.0
0.0,relu,385.3515625,1.0,0.0,cpu,0.0,1024.0,0.0019350227000359155,8404992.0,385.3515625,lstm,0.0,8396800.0,0.0,0.0,1.0
0.0,relu,353.34375,1.0,0.0,cpu,0.0,1024.0,0.00504159290003372,16809984.0,353.34375,lstm,0.0,8396800.0,0.0,0.0,2.0
0.0,relu,359.15625,1.0,0.0,cpu,0.0,1024.0,0.007191641500048718,33619968.0,359.15625,lstm,0.0,8396800.0,0.0,0.0,4.0
0.0,relu,375.15625,1.0,0.0,cpu,0.0,1024.0,0.010985465500016289,67239936.0,375.15625,lstm,0.0,8396800.0,0.0,0.0,8.0
0.0,relu,407.15625,1.0,0.0,cpu,0.0,1024.0,0.019709753099959926,134479872.0,407.15625,lstm,0.0,8396800.0,0.0,0.0,16.0
0.0,relu,439.15625,1.0,0.0,cpu,0.0,1024.0,0.033259021300000316,268959744.0,439.15625,lstm,0.0,8396800.0,0.0,0.0,32.0
0.0,relu,471.7685546875,1.0,0.0,cpu,0.0,1024.0,0.0669983873000092,537919488.0,471.97265625,lstm,0.0,8396800.0,0.0,0.0,64.0
0.0,relu,506.2965198863636,1.0,0.0,cpu,0.0,1024.0,0.12440277300001981,1075838976.0,506.40234375,lstm,0.0,8396800.0,0.0,0.0,128.0
0.0,relu,635.53125,1.0,0.0,cpu,0.0,2048.0,0.007944276800026273,33587200.0,635.53125,lstm,0.0,33570816.0,0.0,0.0,1.0
0.0,relu,763.6142578125,1.0,0.0,cpu,0.0,2048.0,0.016960125700006757,67174400.0,763.62109375,lstm,0.0,33570816.0,0.0,0.0,2.0
0.0,relu,891.62890625,1.0,0.0,cpu,0.0,2048.0,0.02438624690003053,134348800.0,891.62890625,lstm,0.0,33570816.0,0.0,0.0,4.0
0.0,relu,1019.69921875,1.0,0.0,cpu,0.0,2048.0,0.041835224799979184,268697600.0,1019.69921875,lstm,0.0,33570816.0,0.0,0.0,8.0
0.0,relu,1147.685546875,1.0,0.0,cpu,0.0,2048.0,0.07433062000000064,537395200.0,1147.71484375,lstm,0.0,33570816.0,0.0,0.0,16.0
0.0,relu,1275.76953125,1.0,0.0,cpu,0.0,2048.0,0.14000883700000485,1074790400.0,1275.76953125,lstm,0.0,33570816.0,0.0,0.0,32.0
0.0,relu,1403.8265625,1.0,0.0,cpu,0.0,2048.0,0.2693840021000142,2149580800.0,1403.859375,lstm,0.0,33570816.0,0.0,0.0,64.0
