model,device,batch_size,hidden_dim,seq_len,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,latency,avg_memory,max_memory,macs,total_params,trainable_params
feedforward,herron_cpu,1.0,2048.0,1.0,0.0,0.0,0.0,0.0,,relu,0.0008776093018241227,3608.54296875,3608.54296875,4194304.0,4196352.0,0.0
feedforward,herron_cpu,1.0,2048.0,2.0,0.0,0.0,0.0,0.0,,relu,0.0013410327956080437,3609.5442708333335,3609.5625,8388608.0,4196352.0,0.0
feedforward,herron_cpu,1.0,2048.0,4.0,0.0,0.0,0.0,0.0,,relu,0.0019051434937864542,3625.6015625,3625.6015625,16777216.0,4196352.0,0.0
feedforward,herron_cpu,1.0,2048.0,8.0,0.0,0.0,0.0,0.0,,relu,0.0038051274023018777,3641.6015625,3641.6015625,33554432.0,4196352.0,0.0
feedforward,herron_cpu,1.0,2048.0,16.0,0.0,0.0,0.0,0.0,,relu,0.004123515402898193,3659.40234375,3659.40234375,67108864.0,4196352.0,0.0
feedforward,herron_cpu,1.0,2048.0,32.0,0.0,0.0,0.0,0.0,,relu,0.006324853748083115,3675.6671875,3675.75,134217728.0,4196352.0,0.0
feedforward,herron_cpu,1.0,2048.0,64.0,0.0,0.0,0.0,0.0,,relu,0.007973168906755746,3692.090625,3692.1796875,268435456.0,4196352.0,0.0
feedforward,herron_cpu,1.0,2048.0,128.0,0.0,0.0,0.0,0.0,,relu,0.012158345151692628,3720.4921875,3720.7578125,536870912.0,4196352.0,0.0
feedforward,herron_cpu,1.0,2048.0,256.0,0.0,0.0,0.0,0.0,,relu,0.01747190934838727,3758.68359375,3758.68359375,1073741824.0,4196352.0,0.0
feedforward,herron_cpu,1.0,2048.0,512.0,0.0,0.0,0.0,0.0,,relu,0.029230877000372857,3786.2952008928573,3787.41015625,2147483648.0,4196352.0,0.0
feedforward,herron_cpu,1.0,2048.0,1024.0,0.0,0.0,0.0,0.0,,relu,0.04876381880603731,3846.302734375,3848.40234375,4294967296.0,4196352.0,0.0
feedforward,herron_cpu,1.0,2048.0,2048.0,0.0,0.0,0.0,0.0,,relu,0.09458605954423546,3900.559375,3906.8671875,8589934592.0,4196352.0,0.0
feedforward,herron_cpu,1.0,2048.0,4096.0,0.0,0.0,0.0,0.0,,relu,0.1843449085019529,3929.53828125,3941.58203125,17179869184.0,4196352.0,0.0
