accelerator,act_fn,avg_memory,device,dropout,input_format,input_size,latency,macs,max_memory,model,num_layers,platform,requires_grad,total_params,trainable_params,use_dquant,use_torchscript
0.0,relu,270.71484375,cpu,,bsh,"(1, 128, 256)",0.00022640240058535707,8388608.0,270.71484375,feedforward,1.0,laptop_cpu,0.0,65792.0,0.0,0.0,0.0
0.0,relu,270.171875,cpu,,bsh,"(1, 1, 1)",2.9342049674596638e-05,1.0,270.171875,feedforward,1.0,laptop_cpu,0.0,2.0,0.0,0.0,0.0
0.0,relu,275.48046875,cpu,,bsh,"(1, 1, 2)",3.5845000093104316e-05,4.0,275.48046875,feedforward,1.0,laptop_cpu,0.0,6.0,0.0,0.0,0.0
0.0,relu,276.640625,cpu,,bsh,"(1, 1, 4)",6.968104935367592e-05,16.0,276.640625,feedforward,1.0,laptop_cpu,0.0,20.0,0.0,0.0,0.0
0.0,relu,277.0390625,cpu,,bsh,"(1, 1, 8)",2.5147399719571693e-05,64.0,277.0390625,feedforward,1.0,laptop_cpu,0.0,72.0,0.0,0.0,0.0
0.0,relu,277.91796875,cpu,,bsh,"(1, 1, 16)",4.25038997491356e-05,256.0,277.91796875,feedforward,1.0,laptop_cpu,0.0,272.0,0.0,0.0,0.0
0.0,relu,278.3671875,cpu,,bsh,"(1, 1, 32)",4.551585006993264e-05,1024.0,278.3671875,feedforward,1.0,laptop_cpu,0.0,1056.0,0.0,0.0,0.0
0.0,relu,278.73046875,cpu,,bsh,"(1, 1, 64)",8.77535501786042e-05,4096.0,278.73046875,feedforward,1.0,laptop_cpu,0.0,4160.0,0.0,0.0,0.0
0.0,relu,279.5078125,cpu,,bsh,"(1, 1, 128)",2.687070009415038e-05,16384.0,279.5078125,feedforward,1.0,laptop_cpu,0.0,16512.0,0.0,0.0,0.0
0.0,relu,280.0078125,cpu,,bsh,"(1, 1, 256)",3.875024995068088e-05,65536.0,280.0078125,feedforward,1.0,laptop_cpu,0.0,65792.0,0.0,0.0,0.0
0.0,relu,281.5859375,cpu,,bsh,"(1, 1, 512)",4.989165026927367e-05,262144.0,281.5859375,feedforward,1.0,laptop_cpu,0.0,262656.0,0.0,0.0,0.0
0.0,relu,285.74609375,cpu,,bsh,"(1, 1, 1024)",0.00017912420007633046,1048576.0,285.74609375,feedforward,1.0,laptop_cpu,0.0,1049600.0,0.0,0.0,0.0
0.0,relu,298.0703125,cpu,,bsh,"(1, 1, 2048)",0.0012060788001690525,4194304.0,298.0703125,feedforward,1.0,laptop_cpu,0.0,4196352.0,0.0,0.0,0.0
0.0,relu,346.30078125,cpu,,bsh,"(1, 1, 4096)",0.0037684246504795737,16777216.0,346.30078125,feedforward,1.0,laptop_cpu,0.0,16781312.0,0.0,0.0,0.0
0.0,relu,538.5931490384615,cpu,,bsh,"(1, 1, 8192)",0.016871130299841754,67108864.0,538.59375,feedforward,1.0,laptop_cpu,0.0,67117056.0,0.0,0.0,0.0
