accelerator,act_fn,avg_memory,device,dropout,input_format,input_size,latency,macs,max_memory,model,num_layers,platform,requires_grad,total_params,trainable_params,use_dquant,use_torchscript
0.0,relu,270.7057291666667,cpu,,bsh,"(1, 128, 16)",2.9821500356774776e-05,32768.0,270.7109375,feedforward,1.0,laptop_cpu,0.0,272.0,0.0,0.0,0.0
0.0,relu,275.28515625,cpu,,bsh,"(1, 128, 16)",6.016239931341261e-05,65536.0,275.28515625,feedforward,2.0,laptop_cpu,0.0,544.0,0.0,0.0,0.0
0.0,relu,276.47265625,cpu,,bsh,"(1, 128, 16)",0.00015785110008437186,98304.0,276.47265625,feedforward,3.0,laptop_cpu,0.0,816.0,0.0,0.0,0.0
0.0,relu,278.49609375,cpu,,bsh,"(1, 128, 16)",0.00019750439969357103,131072.0,278.49609375,feedforward,4.0,laptop_cpu,0.0,1088.0,0.0,0.0,0.0
0.0,relu,279.2734375,cpu,,bsh,"(1, 128, 16)",0.00014720860053785145,163840.0,279.2734375,feedforward,5.0,laptop_cpu,0.0,1360.0,0.0,0.0,0.0
0.0,relu,280.63671875,cpu,,bsh,"(1, 128, 16)",0.00016031790000852196,196608.0,280.63671875,feedforward,6.0,laptop_cpu,0.0,1632.0,0.0,0.0,0.0
0.0,relu,284.4453125,cpu,,bsh,"(1, 128, 16)",0.00045809490111423654,229376.0,284.4453125,feedforward,7.0,laptop_cpu,0.0,1904.0,0.0,0.0,0.0
0.0,relu,288.08984375,cpu,,bsh,"(1, 128, 16)",0.00028755780076608064,262144.0,288.08984375,feedforward,8.0,laptop_cpu,0.0,2176.0,0.0,0.0,0.0
0.0,relu,292.7890625,cpu,,bsh,"(1, 128, 16)",0.0002576555998530239,294912.0,292.7890625,feedforward,9.0,laptop_cpu,0.0,2448.0,0.0,0.0,0.0
0.0,relu,296.375,cpu,,bsh,"(1, 128, 16)",0.00026948529994115235,327680.0,296.375,feedforward,10.0,laptop_cpu,0.0,2720.0,0.0,0.0,0.0
0.0,relu,289.01953125,cpu,,bsh,"(1, 128, 16)",0.00033405750000383707,360448.0,289.01953125,feedforward,11.0,laptop_cpu,0.0,2992.0,0.0,0.0,0.0
0.0,relu,292.015625,cpu,,bsh,"(1, 128, 16)",0.00031973259901860727,393216.0,292.015625,feedforward,12.0,laptop_cpu,0.0,3264.0,0.0,0.0,0.0
0.0,relu,298.15234375,cpu,,bsh,"(1, 128, 16)",0.0003765692003071308,425984.0,298.15234375,feedforward,13.0,laptop_cpu,0.0,3536.0,0.0,0.0,0.0
0.0,relu,305.28125,cpu,,bsh,"(1, 128, 16)",0.00036263570073060694,458752.0,305.28125,feedforward,14.0,laptop_cpu,0.0,3808.0,0.0,0.0,0.0
0.0,relu,294.31640625,cpu,,bsh,"(1, 128, 16)",0.0004135245006182231,491520.0,294.31640625,feedforward,15.0,laptop_cpu,0.0,4080.0,0.0,0.0,0.0
0.0,relu,299.14453125,cpu,,bsh,"(1, 128, 16)",0.0004942521001794376,524288.0,299.14453125,feedforward,16.0,laptop_cpu,0.0,4352.0,0.0,0.0,0.0
0.0,relu,307.796875,cpu,,bsh,"(1, 128, 16)",0.00041019450000021605,557056.0,307.796875,feedforward,17.0,laptop_cpu,0.0,4624.0,0.0,0.0,0.0
0.0,relu,298.53515625,cpu,,bsh,"(1, 128, 16)",0.0006233630992937833,589824.0,298.53515625,feedforward,18.0,laptop_cpu,0.0,4896.0,0.0,0.0,0.0
0.0,relu,304.1484375,cpu,,bsh,"(1, 128, 16)",0.0005859886994585394,622592.0,304.1484375,feedforward,19.0,laptop_cpu,0.0,5168.0,0.0,0.0,0.0
0.0,relu,313.296875,cpu,,bsh,"(1, 128, 16)",0.0005799239996122196,655360.0,313.296875,feedforward,20.0,laptop_cpu,0.0,5440.0,0.0,0.0,0.0
