accelerator,act_fn,avg_memory,device,dropout,input_format,input_size,latency,macs,max_memory,model,num_layers,platform,requires_grad,total_params,trainable_params,use_dquant,use_torchscript
0.0,relu,282.921875,cpu,,bsh,"(1, 128, 1024)",0.004395906798890792,134217728.0,283.4375,feedforward,1.0,laptop_cpu,0.0,1049600.0,0.0,0.0,0.0
0.0,relu,292.62723214285717,cpu,,bsh,"(1, 128, 1024)",0.012717756700294559,268435456.0,292.69140625,feedforward,2.0,laptop_cpu,0.0,2099200.0,0.0,0.0,0.0
0.0,relu,296.65234375,cpu,,bsh,"(1, 128, 1024)",0.012929998199979307,402653184.0,296.65234375,feedforward,3.0,laptop_cpu,0.0,3148800.0,0.0,0.0,0.0
0.0,relu,313.98828125,cpu,,bsh,"(1, 128, 1024)",0.015597694499592762,536870912.0,313.98828125,feedforward,4.0,laptop_cpu,0.0,4198400.0,0.0,0.0,0.0
0.0,relu,326.05859375,cpu,,bsh,"(1, 128, 1024)",0.01853515130060259,671088640.0,326.05859375,feedforward,5.0,laptop_cpu,0.0,5248000.0,0.0,0.0,0.0
0.0,relu,334.78125,cpu,,bsh,"(1, 128, 1024)",0.023121042300772388,805306368.0,334.78125,feedforward,6.0,laptop_cpu,0.0,6297600.0,0.0,0.0,0.0
0.0,relu,349.81640625,cpu,,bsh,"(1, 128, 1024)",0.026983886100060767,939524096.0,349.81640625,feedforward,7.0,laptop_cpu,0.0,7347200.0,0.0,0.0,0.0
0.0,relu,360.78515625,cpu,,bsh,"(1, 128, 1024)",0.03338810300047044,1073741824.0,360.78515625,feedforward,8.0,laptop_cpu,0.0,8396800.0,0.0,0.0,0.0
0.0,relu,376.82421875,cpu,,bsh,"(1, 128, 1024)",0.032877015099802516,1207959552.0,376.82421875,feedforward,9.0,laptop_cpu,0.0,9446400.0,0.0,0.0,0.0
0.0,relu,391.75390625,cpu,,bsh,"(1, 128, 1024)",0.03720400409947615,1342177280.0,391.75390625,feedforward,10.0,laptop_cpu,0.0,10496000.0,0.0,0.0,0.0
0.0,relu,395.08203125,cpu,,bsh,"(1, 128, 1024)",0.03865947219892405,1476395008.0,395.08203125,feedforward,11.0,laptop_cpu,0.0,11545600.0,0.0,0.0,0.0
0.0,relu,418.0078125,cpu,,bsh,"(1, 128, 1024)",0.041545936900365635,1610612736.0,418.0078125,feedforward,12.0,laptop_cpu,0.0,12595200.0,0.0,0.0,0.0
0.0,relu,431.44375,cpu,,bsh,"(1, 128, 1024)",0.04640714380075224,1744830464.0,431.4453125,feedforward,13.0,laptop_cpu,0.0,13644800.0,0.0,0.0,0.0
0.0,relu,445.86328125,cpu,,bsh,"(1, 128, 1024)",0.04839766260120086,1879048192.0,445.86328125,feedforward,14.0,laptop_cpu,0.0,14694400.0,0.0,0.0,0.0
0.0,relu,441.359375,cpu,,bsh,"(1, 128, 1024)",0.05280206840106985,2013265920.0,441.359375,feedforward,15.0,laptop_cpu,0.0,15744000.0,0.0,0.0,0.0
0.0,relu,454.0078125,cpu,,bsh,"(1, 128, 1024)",0.05651497920043767,2147483648.0,454.0078125,feedforward,16.0,laptop_cpu,0.0,16793600.0,0.0,0.0,0.0
0.0,relu,473.85546875,cpu,,bsh,"(1, 128, 1024)",0.056861826899694275,2281701376.0,473.85546875,feedforward,17.0,laptop_cpu,0.0,17843200.0,0.0,0.0,0.0
0.0,relu,476.35546875,cpu,,bsh,"(1, 128, 1024)",0.07912631489889463,2415919104.0,476.35546875,feedforward,18.0,laptop_cpu,0.0,18892800.0,0.0,0.0,0.0
0.0,relu,493.01171875,cpu,,bsh,"(1, 128, 1024)",0.06476098169951001,2550136832.0,493.01171875,feedforward,19.0,laptop_cpu,0.0,19942400.0,0.0,0.0,0.0
0.0,relu,509.51171875,cpu,,bsh,"(1, 128, 1024)",0.07491434929979733,2684354560.0,509.51171875,feedforward,20.0,laptop_cpu,0.0,20992000.0,0.0,0.0,0.0
0.0,relu,274.81640625,cpu,0.0,bsh,"(1, 128, 256)",0.00024397509987466036,8388608.0,274.81640625,feedforward,1.0,laptop_cpu,0.0,65792.0,0.0,0.0,0.0
0.0,relu,278.42578125,cpu,0.0,bsh,"(1, 128, 256)",0.0005765273002907634,16777216.0,278.42578125,feedforward,2.0,laptop_cpu,0.0,131584.0,0.0,0.0,0.0
