latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,total_params,trainable_params,model,num_layers,input_format,input_size,batch_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,in_channel,out_channel,kernel_size,stride,img_size
4.066638648509979e-05,1274806272.0,1274806272.0,50176.0,50176.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,1.0,7.0
6.204396486282348e-05,1295777792.0,1295777792.0,200704.0,200704.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,1.0,14.0
4.223994910717011e-05,1274806272.0,1274806272.0,802816.0,802816.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,1.0,28.0
3.9373710751533506e-05,1274806272.0,1274806272.0,3211264.0,3211264.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,1.0,56.0
5.978122353553772e-05,1295777792.0,1295777792.0,12845056.0,12845056.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,1.0,112.0
6.097704172134399e-05,1295777792.0,1295777792.0,51380224.0,51380224.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,1.0,224.0
3.914386034011841e-05,1274806272.0,1274806272.0,16384.0,16384.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,2.0,7.0
0.00011067986488342286,1274806272.0,1274806272.0,50176.0,50176.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,2.0,14.0
3.908239305019379e-05,1274806272.0,1274806272.0,200704.0,200704.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,2.0,28.0
3.897137939929962e-05,1274806272.0,1274806272.0,802816.0,802816.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,2.0,56.0
5.773082375526428e-05,1295777792.0,1295777792.0,3211264.0,3211264.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,2.0,112.0
5.8550015091896056e-05,1295777792.0,1295777792.0,12845056.0,12845056.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,2.0,224.0
4.100985825061798e-05,1274806272.0,1274806272.0,4096.0,4096.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,5.0,7.0
0.00010907091200351715,1274806272.0,1274806272.0,9216.0,9216.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,5.0,14.0
3.8959458470344545e-05,1274806272.0,1274806272.0,36864.0,36864.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,5.0,28.0
3.8927048444747923e-05,1274806272.0,1274806272.0,147456.0,147456.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,5.0,56.0
5.8354437351226805e-05,1295777792.0,1295777792.0,541696.0,541696.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,5.0,112.0
5.839802324771881e-05,1295777792.0,1295777792.0,2073600.0,2073600.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,5.0,224.0
3.991387784481048e-05,1274806272.0,1274806272.0,230400.0,230400.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,1.0,7.0
5.978867411613464e-05,1295777792.0,1295777792.0,1327104.0,1327104.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,1.0,14.0
3.869831562042236e-05,1274806272.0,1274806272.0,6230016.0,6230016.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,1.0,28.0
3.993846476078033e-05,1274806272.0,1274806272.0,26873856.0,26873856.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,1.0,56.0
5.895234644412994e-05,1295777792.0,1295777792.0,111513600.0,111513600.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,1.0,112.0
5.649998784065247e-05,1295777792.0,1295777792.0,454201344.0,454201344.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,1.0,224.0
4.0253251791000365e-05,1274806272.0,1274806272.0,82944.0,82944.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,7.0
6.67233020067215e-05,1295777792.0,1295777792.0,331776.0,331776.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,14.0
3.912411630153656e-05,1274806272.0,1274806272.0,1557504.0,1557504.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,28.0
3.949776291847229e-05,1274806272.0,1274806272.0,6718464.0,6718464.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,56.0
